ID,DIRECCIONES,ID_CLIENTE,FECHA_INS
633,5868 Dixon Avenue,110,2019-08-17
636,6 Huxley Street,823,2019-11-22
638,1 Spohn Avenue,342,2020-08-11
651,7317 Mendota Hill,832,2019-09-19
655,845 Namekagon Street,287,2019-06-26
658,497 Bunker Hill Way,223,2020-05-21
659,69740 Tennyson Junction,60,2019-07-31
661,0 Vera Junction,403,2019-12-29
663,33130 Cambridge Street,565,2019-04-18
664,5618 Clemons Crossing,683,2019-07-08
665,61374 Northview Street,114,2019-12-10
669,1345 Mariners Cove Avenue,649,2019-09-09
671,27 Brentwood Court,849,2019-02-16
672,581 Hoepker Street,579,2019-08-01
673,6568 Loftsgordon Center,289,2019-02-05
675,2811 Goodland Pass,28,2019-04-23
677,90 Manufacturers Road,851,2020-03-27
679,617 Bunting Crossing,978,2020-12-04
684,357 Hovde Alley,265,2020-04-26
686,05 Clove Avenue,528,2020-01-21
690,03 Brickson Park Point,245,2019-08-04
693,7 Spenser Point,706,2020-03-10
695,98953 Sloan Trail,469,2019-01-04
697,873 Bonner Way,476,2020-03-08
698,2570 Shasta Center,947,2020-02-29
700,73 Washington Avenue,827,2019-07-20
705,27408 Emmet Crossing,404,2020-06-03
709,344 Debra Road,38,2019-09-04
719,3 Lyons Drive,630,2020-02-21
721,75 Briar Crest Alley,507,2020-12-05
726,19929 Morrow Junction,578,2019-02-10
731,9 Packers Way,895,2019-10-15
734,2 Mosinee Park,701,2020-05-16
735,2 Vidon Junction,339,2020-01-27
743,76001 Loomis Point,762,2020-10-24
748,25137 Little Fleur Drive,606,2019-10-31
749,4902 Schmedeman Center,273,2020-02-27
754,4 Morningstar Crossing,561,2020-05-30
755,869 Bunker Hill Way,134,2019-12-17
756,5725 Melvin Pass,366,2020-01-14
757,174 Katie Point,767,2019-10-04
760,257 Ryan Road,68,2020-11-21
761,2837 Fallview Junction,195,2019-04-04
763,75 Hoard Street,471,2020-06-28
773,0580 Canary Place,457,2019-11-20
776,374 Loftsgordon Avenue,802,2019-11-11
780,5613 Maryland Trail,125,2020-10-17
782,503 Helena Alley,596,2020-04-17
785,3464 Declaration Trail,965,2019-06-28
786,341 1st Street,630,2019-08-08
790,81 Swallow Circle,489,2019-10-09
800,49 Reinke Trail,373,2019-07-08
802,90 Michigan Pass,954,2019-03-05
808,3621 School Court,47,2020-01-30
814,03 Miller Trail,957,2019-09-19
817,347 Veith Drive,164,2020-06-27
820,83938 Hintze Point,620,2019-08-26
822,3602 Rockefeller Lane,115,2020-03-16
825,191 Mcguire Plaza,774,2020-03-03
829,1961 Sugar Crossing,342,2020-01-13
830,5 Melby Pass,141,2019-05-05
831,9 Warner Circle,845,2020-11-12
832,3906 Menomonie Park,802,2020-06-19
833,53 Fulton Center,758,2019-10-18
836,9 Forest Park,342,2020-04-02
837,6426 Boyd Lane,226,2019-07-05
844,70329 Sauthoff Street,412,2020-11-13
845,7818 Melvin Way,159,2020-08-24
853,3 Basil Crossing,361,2020-04-19
854,2900 Tennyson Crossing,855,2020-03-14
855,84 Clyde Gallagher Trail,583,2020-04-07
859,02172 Acker Crossing,513,2019-08-10
864,02086 Summer Ridge Park,252,2019-01-30
868,15 American Junction,170,2020-08-01
869,6523 Killdeer Parkway,43,2019-06-25
871,03 Lerdahl Pass,488,2020-05-28
883,3595 Ridgeview Crossing,230,2020-12-19
885,8 Bayside Alley,359,2020-06-09
889,524 Hanson Center,325,2020-04-20
891,74288 Montana Park,69,2019-07-12
905,332 Armistice Point,628,2019-03-08
906,473 Londonderry Trail,707,2020-02-11
911,1825 Crest Line Alley,182,2019-09-28
914,30311 Shoshone Point,696,2020-12-10
918,3 Scott Street,351,2019-09-03
919,02255 Hallows Point,122,2019-05-17
923,48239 Hagan Avenue,125,2019-04-13
924,38389 Express Lane,98,2019-05-18
925,9378 Lindbergh Hill,312,2020-06-01
926,1991 Moland Circle,982,2020-10-16
927,4207 Randy Pass,229,2019-10-23
931,771 Forest Dale Hill,114,2019-07-19
932,680 High Crossing Junction,34,2020-01-01
934,1 Hudson Trail,782,2020-10-14
937,408 Oak Way,304,2019-08-24
938,6853 Summerview Center,427,2019-01-11
945,57 Forest Dale Court,415,2019-08-26
946,3956 Corry Avenue,507,2020-01-10
947,72 Huxley Parkway,739,2019-06-10
952,7 Holy Cross Crossing,184,2019-09-26
956,455 International Court,57,2019-12-02
957,887 Debra Park,563,2019-07-10
960,1 Luster Place,147,2020-10-05
961,4 South Road,485,2020-07-04
971,946 Westridge Way,622,2019-04-13
976,394 Eagan Place,228,2019-06-11
978,1920 Dottie Drive,536,2019-11-03
983,817 Nancy Way,294,2020-06-05
986,68 Saint Paul Lane,649,2019-12-30
994,80457 Anhalt Point,117,2020-04-10
995,5 Mosinee Lane,411,2019-07-23
996,84 Moose Alley,393,2019-01-08
998,457 Lien Way,361,2019-03-22
